"data__story","data__message","data__updated_time","data__id","paging__previous","paging__next"
"","הי חברים! לרגל נסיעה קצרה אנחנו מסבלטים את דירתנו ברחוב החשמונאים על מלצ'ט (הצד הטוב של חשמונאים) כל תקופת החגים! הדירה 2.5 חדרים גדולים ומוארים עם מבואה, שתי מרפסות ומטבח בקומה שנייה. משכירים ב-3800 בתאריכים 12.9-3.10, ואפשר גם תקופה ארוכה יותר אם יש צורך.","2015-07-28T19:50:23+0000","707688259256219_1038337466191295","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdBjOQXZBZAZBwhQ9yBblZAaEURdqoKUq7rDLOot6bDZB8nh5EtwMmN39Ny4VpnL1ixAWPwdGVsT4nT47mji90kF03pnBbj1mbyvpMllvd7nICxEKNwZDZD&since=1438113023&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&__previous=1","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdD5NZCp7v8ZBBEPPoIkPvGpDHqCglWTRwthCIr5OOItLdYLRH2FGfx7Fhu2Jf9emf4lTOkcvNH0ZC63kQqXFiXZCwFNDfK9holZAPIyrZA0sQzqySSwZDZD&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&until=1433614029"
"","","2015-07-28T19:41:49+0000","707688259256219_1038885112803197","",""
"","מסבלטת דירה מדהימה בשכונת בבלי בתל אביב, 5 דק׳ הליכה מפארק הירקון, מיהודה מכבי וקו 5. דירת 4 חדרים משופצת כחדשה, 2 מקלחות ו-2 שירותים, 2 מרפסות שמש, עם חניה צמודה ומעלית. בתאריכים 28/8-7/9 . 3500 ש״ח.  לפרטים נוספים בפרטי.","2015-07-28T19:28:24+0000","707688259256219_1038876452804063","",""
"","110$ לילה :-) ","2015-07-28T18:40:26+0000","707688259256219_1038854796139562","",""
"","***כל הקודם-זוכה*** דירה להשכרה ל3 חודשים (עד נובמבר)  -לא מתווך- 2 חדרי שינה+סלון דירה משופצת מא' עד ת' ברחוב קטן ושקט ""מרכולת"", יפה ומרווחת 2 דק' מנווה צדק וקרובה לים במרחק הליכה. מטבח ומקלחת חדשים, קודן+ מצלמה, תריסים חשמליים וכמובן.. מרפסת מפנקת בדירה נשארים:מקרר, כריים חשמליים,פלזמה. 5700 לחודש כולל ארנונה ומים ודמי וועד בית.  לפרטים נוספים: ראובן 0528772720","2015-07-28T18:17:34+0000","707688259256219_1038690632822645","",""
"","** Sublet in Tel Aviv! ** Subletting our apartment from September 5 to October 6 The apartment is consists of 2.5 rooms, completely furnished & equipped, it has air conditioners in all rooms, WIFI, washing machine and new kitchen. Located in Bugrashov 92, 5 minutes from the beach, in front of Dizingoff Center. The price is 5100 NIS. PM me or call 050-7823563","2015-07-28T17:44:25+0000","707688259256219_1038831496141892","",""
"","Room vacating @ Ben Yehuda / Gordon - PERFECT LOCATION 1 minute from the beach(!), 5 minutes from Dizengof Center, 10 minutes from Rabin Square.... and pretty much all you need is around ONLY 1800 / MONTH  sublet on a monthly basis - NO COMMITMENT REQUIRED awesome apartment with a living room, 2 balconies and good vibes come and see for yourselves smile emoticon if you know anyone who'd be interested, a share would be appreciated","2015-07-28T16:49:19+0000","707688259256219_1038692442822464","",""
"","ארון בגדים 1,60 על 2,40 500 שח","2015-07-28T16:33:05+0000","707688259256219_1038800322811676","",""
"","סבלט בדירה מעולה בצפון הישן. כניסה ביום ראשון, דירה מאובזרת באופן מלא עם שותפים מדהימים","2015-07-28T15:50:26+0000","707688259256219_1038784499479925","",""
"","אתם מעמיסים ,אנחנו מובילים ,וכך אתם חוסכים !","2015-07-28T13:50:34+0000","707688259256219_1038725829485792","",""
"","You last chance - Reduced price! **Sublett - TLV the old north area + a private parking lot!! - August ** Subletting my awesome apartment at the best location in Tel Aviv.  When: 1.8 to 20.8.  Location: Arba Aratzot St., 7 mins walk from the Hilton Beach, Two mins walk from the Dizingof pub area ..  The apartment: 3 rooms renovated, big open living room, fully equipped kitchen, toilet and shower, ***A free private indoor parking lot!***  Cost: 2950 NIS including bills! For more details, please PM me. :)","2015-07-28T13:19:51+0000","707688259256219_1031901173501591","",""
"","***מציאה!!!*** דירה מדהימה של שניים וחצי חדרים, מאובזרת לחלוטין, ברחוב בוגרשוב 91, קומה 4 לסיבלוט, מה2 לאוגוסט עד ה27 לאוגוסט.  לדירה נוף מדהים לכיוון הבימה. ממוקמת בלב תל אביב מטר מדיזינגוף סנטר, החוף, שוק הכרמל, הבימה וכיכר רבין- מושלמת לזוג, עם אפשרות לבעלי חיים.  7000 ש""ח, כולל חשבונות.   לפרטים נא לפנות אלי בפרטי :-)","2015-07-28T12:57:47+0000","707688259256219_1038698186155223","",""
