"data__message","data__story","data__updated_time","data__id","paging__previous","paging__next"
"","","2014-08-14T22:50:36+0000","707688259256219_819267228098321","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdDUk8Gwm20kj35WQAvBoGAWXMGqMMZBVZBr9lwttPMyNp2ZByC9DPLwR7X146CKoQZCttfBfRZBRo1EKEzinXMT7x6py5eeQHzDrv812erGGZCNitXwZDZD&since=1408056636&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&__previous=1","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdBxWxfRQO9EFilHxSLNplmvTZAwzCQ09SbW9OCor4ZCRqOi1KrgTisoVgff6wYm4QKYqfEMiMnQJUNCBpiGcPBXLazXvEkuPYCRy5krf08ZCqsmAZDZD&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&until=1393269496"
"סאבלט לדירתנו המקסימה! ממוקמת במיקום מעולה, דיזנגוף פינת אבן גבירול, לתקופה של כחודשיים (21.8-18.10). הדירה מתאימה ליחיד/ה או לזוג, מאובזרת לחלוטין, משופצת, ממוזגת, מוארת ושקטה (עורפית). 4,090 ש""ח לחודש כולל חשבונות. לקבלת פרטים נוספים אנא פנו בפרטי!!!!","","2014-08-14T22:50:29+0000","707688259256219_828275553864155","",""
"https://www.facebook.com/groups/1463654897222162/","","2014-08-14T20:22:46+0000","707688259256219_828301697194874","",""
"ניר הובלות לסטודנטים שרות אמין 0507779987","‎ניר שחר‎ shared ‎ניר הובלות חדש‎'s post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-14T19:27:31+0000","707688259256219_828278727197171","",""
"###סבלט בנווה צדק#### בית מקסים בנווה צדק בין מתחם התחנה לסוזן דלל ,2 דקות מהים . בבית יש סלון מרווח ,מטבח גדול וחדר שינה . יש בבית ריהוט מלא. הבית פנוי ל 3 שבועות (19.9 -8.10), 3500 לכל התקופה. לגבי תקופה קצרה יותר אפשר לדבר על המחיר. רק לקחת מפתח ולהרגיש בבית. לפרטים נוספים בפרטי.","","2014-08-14T10:25:10+0000","707688259256219_828068793884831","",""
"סאבלט לחודש ספטמבר ויותר: דירת שני חדרים משופצים+ מרפסת המתאימה לזוג או ליחיד.  ממוקמת ברחוב דרך יפו&נחלת בנימין, במרחק הליכה מרוטשילד, שינקין, שוק הכרמל והים. הדירה מרוהטת וכוללת מיטה, ארון גדול, מקרר, מכונת כביסה, מזגן, שולחן עבודה וטלוויזיה. מאובזרת במלואה.  רק להביא בגדים!  המחיר לחודש הוא 5,000 ש""ח וכולל הכל (מים, חשמל, אינטרנט מהיר, wifi). דברו איתי בפרטי:)","","2014-08-14T09:51:06+0000","707688259256219_828058890552488","",""
"מסבלט את החדר שלי בדירת שותפים (שותף אחד נשאר) בכרם. מיום שני הקרוב ( 18.8) ועד ה15 לספטמבר. מיקום מעולה, קרוב לים ולשוק הכרמל, שקט ורגוע. הכל מרוהט ואין צורך להביא כלום. מטבח גדול וסלון מפנק.  2300 כולל הכל לכל התקופה.","","2014-08-14T08:41:40+0000","707688259256219_828037630554614","",""
"","Orel Debran shared her post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-14T08:11:59+0000","707688259256219_828030867221957","",""
"סבלט לשבעה חודשים החל מתחילת ספטמבר מתפנה חדר בדירת שלושה שותפים על אבן גבירול פינת ז׳בוטינסקי. דירת 4 חדרים, גדולה ( 100 מ״ר) משופצת ומרוהטת.  בדירה יש מכונת כביסה, אינטרנט, דוד שמש, מטבח מאובזר לחלוטין והחדר כולל מזגן. שכ״ד 2600 לחודש.  מראה היום ב-1900.  לפרטים ותיאום- בפרטי או עמית 0545646177 (6 photos)","","2014-08-14T07:44:52+0000","707688259256219_828019347223109","",""
"","","2014-08-14T06:21:53+0000","707688259256219_827992520559125","",""
