"data__story","data__message","data__updated_time","data__id","paging__previous","paging__next"
"","שלום :) חברה טובה טסה בספטמבר לטיול משפחתי ומחפשת שוכר ישר שיהנה מהדירה המקסימה שלה. הדירה תהיה פנויה בין התאריכים ה7.9 ועד ה10.10. דירת סטודיו בקומת קרקע 50 מ""ר מתאימה גם לזוגות. היא ממוקמת בצפון הישן ליד דיזנגוף ירמיהו ומכילה כל מה שרק תרצו ולא תרצו ( נגיד Irobot).. עלות 3,900 שח כולל הכל. אם מישהו מעוניין אנא שלחו אותו אלי ואני אראה לו את הדרך נ.ב הכלב לא כלול בהשכרה","2015-08-24T18:57:50+0000","707688259256219_1053296944695347","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdC51ecyXGxOiA7wXDavCWriKvLRQ3Km4dd197TZAACZAYakldMdNoh6x05yZCbsCpMAuPMZA2hrZAZBB7ps49A4V49Sa7kODyFAiZBjJwrZCglytU22GgZDZD&since=1440442670&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&__previous=1","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdAks7ZAqrMdEtiU33FCsKonxaptZCPMHGiPQM2mDkPfX4IZBXsR5cZBeP7LD9y9MCjkxnbYiovyBu0QVScmrKJjUkjzvS4vbplsCo9kqLTX4HopoQZDZD&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&until=1438114284"
"","סאבלט מ 6.9 עד 6.10 (גמיש) באלנבי 83 (בין מונטיפיורי למזא""ה) 2 דק לרוטשילד ו6 דק לים, חדר גדול 16 מ""מ עם שירותים ומקלחת פרטית, יש מכונת כביסה ומייבש בדירה , עם שותפה מקסימה, 2600 כולל הכל!. 058-4205090 שאלות נוספות בפרטי..  sublet from 6/9 until 6/10 Flexible dates center of tlv allenby 83 , 2 min from rotchild blv and 6 min from the beach a large and specious room with a privte shower and bathroom there is a lundry machine and a dryer in the apt 2600 shekal all includedd .. 058-4205090 or pm me for more quastions","2015-08-24T18:49:50+0000","707688259256219_1053294098028965","",""
"","המחיר ירד! לי זה עולה יותר! סאבלט לחודש במרכז תל אביב!!! בר כוכבא 32 מה-8/9 עד ה-9/10 חדר שווה בדירה שווה במיקום הכי טוב שתמצאו. 2500 כולל כל החשבונות בדירה יש הכל- מזגנים, מטבח מאובזר, מדיח, מכונת כביסה, מייבש, טלוויזיות, יס, אינטרנט. החדר המסובלט גדול ויש בו הכל. רק להביא בגדים","2015-08-24T17:43:51+0000","707688259256219_1053261034698938","",""
"","סבלט בתל אביב לכל ספטמבר – 4500 ש""ח דירת 2 חדרים מקסימה בצפון הישן, ארלוזרוב פינת אבן גבירול לכל ספטמבר עם אפשרות לעוד כמה ימים לפני/אחרי (גמיש) קצת על הדירה –  סלון מרווח ומואר, מרפסת ענקית עם ערסל וגריל לעל האש, חדר שינה עם מיטה זוגית וארון בגדים גדול, מזגן בכל חדר, מטבח מאובזר לחלוטין (מקרר,מדיח, מיקרו ועוד..), אמבטיה... 10 דקות מחוף הילטון/גורדון, 2 דקות מאבן גבירול ומדיזינגוף, שופרסל מול הבית... אם אתם או חברים שלכם בעניין – דברו איתי מרינה – 053-4270801","2015-08-24T17:21:29+0000","707688259256219_1053252941366414","",""
"","Subletting our apartment on Matalon on the corner of HaAliya. September 1st - October 1st. 2 spacious rooms, fully equipped kitchen, balcony. Suitable for one/couple (room for more in the living room on a futon and single bed). 2,900 bills included.  מסבלטות את הדירה שלנו על מטלון פינת העלייה לכל ספטמבר (1.9-1.10). שני חדרים, מרווחת ונעימה, מתאימה לזוג או ליחיד (יש מקום גם לארח). 2,900 ש""ח כולל חשבונות","2015-08-24T17:09:04+0000","707688259256219_1053248768033498","",""
"","דירה נהדרת לחודש ספטמבר. דברו אלי.","2015-08-24T17:07:20+0000","707688259256219_1053248364700205","",""
"","שלום לכולם! מסבלט לחודש את דירת החדר הכיפית שלי, דירה משופצת ברמה גבוהה ומאובזרת וממוקמת באחלה אזור של תל אביב- 5 דקות מרוטשילד, על רחוב אלנבי ליד כיכר המושבות, בקרבת קווי אוטובוס ומוניות שירות. התאריכים המוצעים הם בין ה- 01/09-01/10 ויש גמישות בתאריכים (אפשרי קצת יותר או קצת פחות). לא מחפש לתקופות של קצרות של כמה ימים!!  המחיר הוא 3500 לכל התקופה כולל חשבונות. לפרטים נוספים ניתן לפנות אלי בפרטי :)","2015-08-24T16:41:13+0000","707688259256219_1047275835297458","",""
"","סבלט בנווה צדק לתקופה של חודש החל מה- 4/9. דירת סטודיו + חצר, רחוב ברנט (ממש מול הים ושקט לאורך כל היום). הדירה מאובזרת לגמרי בהכל. מחיר - 3000 כולל הכל.","2015-08-24T16:14:52+0000","707688259256219_1052071374817904","",""
"","דירת 2 חדרים מדהימה במרכז תל אביב, ברחוב הנביאים,מתאימה לזוג או לבודד, חדר שינה אחד, סלון ומרפסת מרווחת. קרובה לכיכר רבין, כיכר הבימה ודיזינגוף סנטר. בדירה ריהוט מלא, טלוויזיה ואינטרנט. פנויה בסוף חודש ספטמבר 25.9-2.10. המחיר לכל התקופה הוא 1200 ש""ח. Two room apartment in central Tel Aviv, suitable for couples or וsingles.  one bedroom, a living room and a spacious terrace. Close to Rabin Square, Habima Square and Dizengoff Center. The apartment is fully furnished, TV and Internet. Available at the end of September from 25.9 to 2.10. The price for the entire period is 1200 NIS.","2015-08-24T15:26:55+0000","707688259256219_1053203704704671","",""
"","I am subletting my lovely home in Tel Aviv: 23rd August - 10th September - flexible dates. It's a 2 bedroom, 80 sq meter, beautiful and really quiet, AC, PC, Wi-fi, new Bathtub, Washing machine. It comes with a cute black cat called Choya . Neve Sha'anan, 2350 nis for the period","2015-08-24T15:00:31+0000","707688259256219_1053194861372222","",""
